This is a job step 14


----------------------------------------------------
STRUCTURE by Pritchard, Stephens and Donnelly (2000)
     and Falush, Stephens and Pritchard (2003)
       Code by Pritchard, Falush and Hubisz
             Version 2.3.4 (Jul 2012)
----------------------------------------------------


Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/mainparamsfiles/mainparamsbigfile".
datafile is
/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str
Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/extraparams_bigfile".
Note: RANDOMIZE is set to 1. The random number generator will be initialized using the system clock, ignoring any specified value of SEED.
Reading file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str".


Data file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str" (truncated) --

Ind:   Label Pop : Genotype_data . . . .
  1: QC-ANG-01    1  :110 167 287 296 254 146 173  . . . . 291
  1: QC-ANG-01    1  :110 179 295 312 358 210 175  . . . . 315
  2: QC-ANG-11    1  :130 171 291 312 322 210 193  . . . . 283
  2: QC-ANG-11    1  :130 175 303 336 338 242 199  . . . . 303
  3: QC-ANG-12    1  :106 175 279 312 278 198 171  . . . . 315
  3: QC-ANG-12    1  :130 191 307 372 342 210 201  . . . . 319
  4: QC-ANG-13    1  :128 159 291 320 314 214 159  . . . . 287
  4: QC-ANG-13    1  :128 167 295 344 326 254 201  . . . . 315

      *******   

9141: US-NA11574  153  :122 203 283 312 254 198 173  . . . . 303
9141: US-NA11574  153  :128 203 303 340 290 206 173  . . . . 307
9142: US-NA11575  153  :122 167 283 300 254 214 173  . . . . 295
9142: US-NA11575  153  :128 167 303 336 290 298 173  . . . . 339

Number of alleles per locus: min=15; ave=39.8; max=91


--------------------------------------

Finished initialization; starting MCMC 
1000000 iterations + 100000 burnin


--------------------------------------------
Proportion of membership of each pre-defined
 population in each of the 14 clusters

Given    Inferred Clusters                                                                                    Number of
 Pop       1      2      3      4      5      6      7      8      9     10     11     12     13     14      Individuals

  1:     0.061  0.064  0.040  0.377  0.032  0.044  0.054  0.038  0.037  0.026  0.047  0.068  0.079  0.033       45
  2:     0.027  0.017  0.043  0.042  0.021  0.018  0.685  0.023  0.020  0.021  0.017  0.024  0.023  0.020       50
  3:     0.057  0.029  0.064  0.100  0.053  0.107  0.088  0.062  0.049  0.039  0.072  0.077  0.168  0.034       48
  4:     0.065  0.059  0.077  0.073  0.063  0.103  0.059  0.055  0.057  0.049  0.053  0.054  0.201  0.032       50
  5:     0.063  0.073  0.064  0.063  0.057  0.047  0.027  0.051  0.238  0.046  0.059  0.096  0.077  0.038       50
  6:     0.042  0.068  0.081  0.071  0.082  0.055  0.042  0.073  0.199  0.030  0.022  0.067  0.122  0.046       49
  7:     0.052  0.077  0.044  0.105  0.089  0.034  0.041  0.046  0.146  0.072  0.049  0.076  0.105  0.064       43
  8:     0.032  0.055  0.091  0.045  0.034  0.035  0.041  0.028  0.396  0.083  0.026  0.054  0.029  0.051       46
  9:     0.034  0.039  0.042  0.056  0.027  0.419  0.042  0.033  0.044  0.024  0.082  0.043  0.058  0.056       60
 10:     0.072  0.052  0.046  0.127  0.065  0.062  0.044  0.037  0.089  0.091  0.065  0.092  0.106  0.053       38
 11:     0.040  0.048  0.042  0.079  0.031  0.063  0.047  0.045  0.273  0.091  0.023  0.068  0.103  0.049       50
 12:     0.036  0.038  0.047  0.092  0.061  0.026  0.051  0.031  0.115  0.084  0.034  0.135  0.197  0.053       48
 13:     0.068  0.048  0.069  0.148  0.054  0.084  0.059  0.064  0.095  0.038  0.052  0.057  0.121  0.045       50
 14:     0.049  0.042  0.055  0.040  0.036  0.059  0.319  0.065  0.036  0.084  0.027  0.052  0.089  0.048       57
 15:     0.045  0.040  0.059  0.098  0.047  0.115  0.118  0.065  0.039  0.020  0.062  0.089  0.132  0.070       48
 16:     0.038  0.012  0.023  0.033  0.028  0.027  0.593  0.033  0.038  0.033  0.042  0.028  0.041  0.031       48
 17:     0.038  0.038  0.049  0.124  0.078  0.141  0.089  0.060  0.074  0.035  0.050  0.051  0.119  0.053       50
 18:     0.049  0.052  0.111  0.075  0.063  0.027  0.054  0.051  0.175  0.039  0.035  0.119  0.057  0.094       44
 19:     0.032  0.035  0.105  0.090  0.043  0.097  0.039  0.051  0.107  0.041  0.049  0.075  0.167  0.069       50
 20:     0.041  0.096  0.036  0.035  0.049  0.032  0.033  0.072  0.409  0.080  0.015  0.033  0.042  0.027       50
 21:     0.026  0.034  0.045  0.039  0.041  0.042  0.530  0.035  0.031  0.033  0.043  0.025  0.049  0.027       48
 22:     0.104  0.025  0.124  0.190  0.037  0.054  0.086  0.024  0.061  0.046  0.039  0.053  0.117  0.040       50
 23:     0.058  0.053  0.086  0.090  0.044  0.078  0.039  0.068  0.165  0.066  0.038  0.058  0.099  0.058       49
 24:     0.055  0.027  0.064  0.147  0.084  0.048  0.057  0.050  0.103  0.045  0.033  0.087  0.147  0.053       50
 25:     0.099  0.051  0.109  0.068  0.047  0.049  0.037  0.041  0.184  0.079  0.042  0.064  0.036  0.094       50
 26:     0.074  0.089  0.080  0.100  0.048  0.050  0.077  0.051  0.109  0.065  0.051  0.077  0.084  0.045       50
 27:     0.057  0.034  0.111  0.055  0.061  0.055  0.227  0.091  0.041  0.044  0.037  0.080  0.063  0.042       55
 28:     0.039  0.046  0.037  0.048  0.088  0.150  0.190  0.056  0.069  0.034  0.065  0.072  0.081  0.025       50
 29:     0.032  0.090  0.103  0.159  0.069  0.060  0.050  0.035  0.059  0.073  0.037  0.105  0.065  0.063      108
 30:     0.039  0.087  0.105  0.133  0.079  0.075  0.033  0.042  0.066  0.053  0.060  0.087  0.084  0.058      109
 31:     0.058  0.078  0.075  0.110  0.060  0.038  0.017  0.039  0.221  0.054  0.046  0.066  0.095  0.042       49
 32:     0.022  0.086  0.055  0.168  0.040  0.081  0.023  0.039  0.104  0.047  0.035  0.063  0.146  0.091       50
 33:     0.063  0.067  0.038  0.079  0.026  0.171  0.059  0.084  0.044  0.045  0.083  0.085  0.085  0.072       50
 34:     0.082  0.028  0.056  0.043  0.077  0.101  0.183  0.115  0.035  0.036  0.037  0.050  0.103  0.053       50
 35:     0.037  0.032  0.044  0.084  0.080  0.161  0.080  0.061  0.050  0.050  0.047  0.067  0.168  0.038       50
 36:     0.059  0.048  0.069  0.088  0.086  0.054  0.033  0.035  0.141  0.043  0.032  0.049  0.213  0.049       39
 37:     0.053  0.040  0.101  0.074  0.038  0.096  0.051  0.071  0.107  0.056  0.036  0.117  0.083  0.076       47
 38:     0.070  0.059  0.110  0.084  0.058  0.066  0.056  0.050  0.141  0.046  0.062  0.063  0.085  0.050       67
 39:     0.060  0.018  0.120  0.086  0.031  0.065  0.034  0.049  0.072  0.067  0.043  0.073  0.252  0.031       34
 40:     0.051  0.038  0.088  0.088  0.048  0.026  0.045  0.081  0.195  0.060  0.065  0.087  0.081  0.048       58
 41:     0.062  0.046  0.064  0.114  0.054  0.070  0.070  0.081  0.106  0.043  0.051  0.078  0.099  0.064       86
 42:     0.061  0.112  0.070  0.083  0.058  0.068  0.030  0.041  0.125  0.064  0.032  0.078  0.106  0.071       44
 43:     0.018  0.075  0.053  0.041  0.056  0.046  0.024  0.059  0.417  0.045  0.048  0.038  0.045  0.033       44
 44:     0.037  0.066  0.039  0.038  0.048  0.054  0.302  0.080  0.037  0.046  0.047  0.074  0.083  0.049       50
 45:     0.043  0.040  0.089  0.061  0.062  0.059  0.057  0.064  0.206  0.060  0.047  0.063  0.099  0.051       35
 46:     0.051  0.049  0.083  0.112  0.040  0.123  0.078  0.035  0.073  0.045  0.034  0.096  0.139  0.043       50
 47:     0.070  0.050  0.072  0.097  0.033  0.071  0.067  0.062  0.047  0.030  0.031  0.112  0.219  0.040       36
 48:     0.070  0.023  0.046  0.066  0.057  0.096  0.135  0.064  0.065  0.057  0.017  0.116  0.176  0.013       53
