This is a job step 6


----------------------------------------------------
STRUCTURE by Pritchard, Stephens and Donnelly (2000)
     and Falush, Stephens and Pritchard (2003)
       Code by Pritchard, Falush and Hubisz
             Version 2.3.4 (Jul 2012)
----------------------------------------------------


Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/mainparamsfiles/mainparamsbigfile".
datafile is
/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str
Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/extraparams_bigfile".
Note: RANDOMIZE is set to 1. The random number generator will be initialized using the system clock, ignoring any specified value of SEED.
Reading file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str".


Data file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str" (truncated) --

Ind:   Label Pop : Genotype_data . . . .
  1: QC-ANG-01    1  :110 167 287 296 254 146 173  . . . . 291
  1: QC-ANG-01    1  :110 179 295 312 358 210 175  . . . . 315
  2: QC-ANG-11    1  :130 171 291 312 322 210 193  . . . . 283
  2: QC-ANG-11    1  :130 175 303 336 338 242 199  . . . . 303
  3: QC-ANG-12    1  :106 175 279 312 278 198 171  . . . . 315
  3: QC-ANG-12    1  :130 191 307 372 342 210 201  . . . . 319
  4: QC-ANG-13    1  :128 159 291 320 314 214 159  . . . . 287
  4: QC-ANG-13    1  :128 167 295 344 326 254 201  . . . . 315

      *******   

9141: US-NA11574  153  :122 203 283 312 254 198 173  . . . . 303
9141: US-NA11574  153  :128 203 303 340 290 206 173  . . . . 307
9142: US-NA11575  153  :122 167 283 300 254 214 173  . . . . 295
9142: US-NA11575  153  :128 167 303 336 290 298 173  . . . . 339

Number of alleles per locus: min=15; ave=39.8; max=91


--------------------------------------

Finished initialization; starting MCMC 
1000000 iterations + 100000 burnin


--------------------------------------------
Proportion of membership of each pre-defined
 population in each of the 6 clusters

Given    Inferred Clusters                            Number of
 Pop       1      2      3      4      5      6      Individuals

  1:     0.099  0.092  0.378  0.208  0.166  0.057       45
  2:     0.018  0.035  0.023  0.862  0.021  0.041       50
  3:     0.132  0.204  0.319  0.227  0.074  0.044       48
  4:     0.073  0.204  0.309  0.164  0.161  0.089       50
  5:     0.143  0.163  0.305  0.094  0.132  0.162       50
  6:     0.091  0.214  0.209  0.104  0.147  0.235       49
  7:     0.121  0.135  0.347  0.068  0.229  0.099       43
  8:     0.063  0.102  0.269  0.069  0.427  0.070       46
  9:     0.198  0.107  0.267  0.180  0.132  0.116       60
 10:     0.109  0.118  0.349  0.084  0.166  0.174       38
 11:     0.054  0.069  0.494  0.109  0.151  0.123       50
 12:     0.095  0.100  0.433  0.107  0.166  0.100       48
 13:     0.138  0.163  0.273  0.189  0.092  0.145       50
 14:     0.078  0.112  0.067  0.548  0.065  0.130       57
 15:     0.162  0.227  0.151  0.332  0.032  0.096       48
 16:     0.031  0.044  0.081  0.772  0.030  0.043       48
 17:     0.154  0.145  0.229  0.267  0.109  0.096       50
 18:     0.154  0.148  0.283  0.087  0.203  0.125       44
 19:     0.071  0.094  0.529  0.065  0.120  0.121       50
 20:     0.094  0.067  0.413  0.039  0.293  0.094       50
 21:     0.047  0.032  0.053  0.791  0.038  0.039       48
 22:     0.075  0.184  0.277  0.229  0.124  0.111       50
 23:     0.144  0.108  0.457  0.081  0.106  0.104       49
 24:     0.071  0.159  0.384  0.136  0.142  0.107       50
 25:     0.110  0.096  0.295  0.050  0.241  0.208       50
 26:     0.124  0.103  0.346  0.141  0.141  0.145       50
 27:     0.142  0.128  0.089  0.483  0.074  0.085       55
 28:     0.099  0.056  0.138  0.500  0.059  0.148       50
 29:     0.093  0.173  0.285  0.066  0.297  0.086      108
 30:     0.128  0.190  0.225  0.087  0.290  0.080      109
 31:     0.052  0.162  0.428  0.061  0.171  0.125       49
 32:     0.068  0.128  0.415  0.160  0.138  0.091       50
 33:     0.328  0.056  0.276  0.128  0.055  0.159       50
 34:     0.108  0.114  0.044  0.445  0.057  0.232       50
 35:     0.149  0.134  0.285  0.267  0.074  0.090       50
 36:     0.027  0.143  0.522  0.079  0.102  0.127       39
 37:     0.162  0.089  0.376  0.112  0.104  0.156       47
 38:     0.069  0.172  0.439  0.060  0.117  0.144       67
 39:     0.142  0.102  0.502  0.105  0.094  0.056       34
 40:     0.166  0.062  0.465  0.072  0.150  0.084       58
 41:     0.132  0.179  0.298  0.158  0.121  0.111       86
 42:     0.063  0.136  0.316  0.134  0.237  0.115       44
 43:     0.079  0.072  0.429  0.063  0.266  0.091       44
 44:     0.121  0.078  0.131  0.518  0.064  0.088       50
 45:     0.123  0.116  0.315  0.108  0.241  0.097       35
 46:     0.085  0.135  0.373  0.186  0.074  0.146       50
 47:     0.092  0.115  0.503  0.078  0.089  0.123       36
 48:     0.100  0.123  0.170  0.427  0.072  0.108       53
 49:     0.038  0.057  0.060  0.727  0.066  0.053       57
 50:     0.135  0.106  0.076  0.445  0.087  0.151       49
 51:     0.140  0.204  0.283  0.147  0.138  0.088       42
 52:     0.088  0.116  0.384  0.144  0.127  0.141       50
 53:     0.081  0.134  0.130  0.080  0.467  0.108       50
 54:     0.092  0.277  0.133  0.080  0.355  0.062       44
 55:     0.088  0.181  0.267  0.080  0.264  0.121       50
 56:     0.046  0.096  0.040  0.029  0.755  0.034       30
 57:     0.085  0.192  0.312  0.071  0.216  0.124       50
 58:     0.088  0.202  0.217  0.061  0.338  0.095       50
 59:     0.091  0.144  0.271  0.085  0.354  0.054       33
 60:     0.073  0.116  0.278  0.088  0.380  0.065        9
 61:     0.115  0.177  0.361  0.053  0.208  0.086       50
 62:     0.048  0.317  0.196  0.035  0.332  0.072       32
 63:     0.074  0.263  0.169  0.110  0.312  0.073       50
 64:     0.078  0.085  0.097  0.057  0.587  0.095       50
 65:     0.052  0.085  0.050  0.051  0.715  0.047       29
 66:     0.099  0.208  0.254  0.081  0.295  0.063       50
 67:     0.180  0.087  0.193  0.057  0.436  0.047       31
 68:     0.060  0.196  0.166  0.049  0.403  0.127       27
 69:     0.082  0.275  0.188  0.099  0.267  0.089       20
 70:     0.040  0.213  0.194  0.076  0.412  0.066       50
 71:     0.073  0.150  0.370  0.067  0.178  0.162       50
 72:     0.060  0.149  0.164  0.090  0.488  0.050       37
 73:     0.122  0.140  0.066  0.533  0.034  0.105       81
 74:     0.210  0.091  0.053  0.126  0.048  0.471       50
 75:     0.130  0.164  0.193  0.087  0.182  0.244       50
 76:     0.180  0.105  0.166  0.133  0.066  0.350       89
 77:     0.435  0.121  0.087  0.078  0.085  0.193      100
 78:     0.149  0.061  0.044  0.588  0.043  0.115       94
 79:     0.121  0.100  0.186  0.168  0.117  0.308      100
 80:     0.179  0.110  0.062  0.151  0.048  0.450       50
 81:     0.159  0.138  0.145  0.059  0.119  0.380      100
 82:     0.182  0.112  0.177  0.110  0.205  0.215       98
 83:     0.162  0.060  0.053  0.054  0.137  0.535       50
 84:     0.044  0.022  0.062  0.743  0.038  0.090       99
 85:     0.219  0.146  0.147  0.099  0.191  0.199       99
 86:     0.454  0.082  0.114  0.121  0.072  0.157      100
 87:     0.579  0.100  0.060  0.059  0.068  0.135      100
 88:     0.135  0.088  0.080  0.117  0.061  0.518      100
 89:     0.216  0.127  0.142  0.087  0.179  0.249       99
 90:     0.177  0.114  0.105  0.204  0.115  0.284       48
 91:     0.046  0.054  0.156  0.558  0.096  0.091       28
 92:     0.262  0.054  0.054  0.222  0.094  0.314       50
 93:     0.203  0.079  0.079  0.112  0.078  0.448      100
 94:     0.132  0.066  0.096  0.083  0.099  0.524       50
 95:     0.086  0.132  0.086  0.567  0.039  0.089       41
 96:     0.186  0.112  0.100  0.080  0.118  0.404       81
 97:     0.124  0.042  0.093  0.126  0.067  0.548       50
 98:     0.137  0.080  0.093  0.059  0.240  0.392      100
