This is a job step 7


----------------------------------------------------
STRUCTURE by Pritchard, Stephens and Donnelly (2000)
     and Falush, Stephens and Pritchard (2003)
       Code by Pritchard, Falush and Hubisz
             Version 2.3.4 (Jul 2012)
----------------------------------------------------


Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/mainparamsfiles/mainparamsbigfile".
datafile is
/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str
Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/extraparams_bigfile".
Note: RANDOMIZE is set to 1. The random number generator will be initialized using the system clock, ignoring any specified value of SEED.
Reading file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str".


Data file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str" (truncated) --

Ind:   Label Pop : Genotype_data . . . .
  1: QC-ANG-01    1  :110 167 287 296 254 146 173  . . . . 291
  1: QC-ANG-01    1  :110 179 295 312 358 210 175  . . . . 315
  2: QC-ANG-11    1  :130 171 291 312 322 210 193  . . . . 283
  2: QC-ANG-11    1  :130 175 303 336 338 242 199  . . . . 303
  3: QC-ANG-12    1  :106 175 279 312 278 198 171  . . . . 315
  3: QC-ANG-12    1  :130 191 307 372 342 210 201  . . . . 319
  4: QC-ANG-13    1  :128 159 291 320 314 214 159  . . . . 287
  4: QC-ANG-13    1  :128 167 295 344 326 254 201  . . . . 315

      *******   

9141: US-NA11574  153  :122 203 283 312 254 198 173  . . . . 303
9141: US-NA11574  153  :128 203 303 340 290 206 173  . . . . 307
9142: US-NA11575  153  :122 167 283 300 254 214 173  . . . . 295
9142: US-NA11575  153  :128 167 303 336 290 298 173  . . . . 339

Number of alleles per locus: min=15; ave=39.8; max=91


--------------------------------------

Finished initialization; starting MCMC 
1000000 iterations + 100000 burnin


--------------------------------------------
Proportion of membership of each pre-defined
 population in each of the 7 clusters

Given    Inferred Clusters                                   Number of
 Pop       1      2      3      4      5      6      7      Individuals

  1:     0.064  0.229  0.129  0.127  0.127  0.217  0.108       45
  2:     0.012  0.025  0.036  0.016  0.014  0.027  0.868       50
  3:     0.089  0.196  0.083  0.048  0.217  0.200  0.167       48
  4:     0.102  0.145  0.132  0.093  0.085  0.276  0.167       50
  5:     0.130  0.198  0.110  0.134  0.111  0.270  0.046       50
  6:     0.101  0.228  0.128  0.127  0.079  0.235  0.102       49
  7:     0.137  0.072  0.093  0.181  0.125  0.330  0.063       43
  8:     0.093  0.120  0.063  0.263  0.067  0.317  0.077       46
  9:     0.055  0.154  0.124  0.085  0.307  0.105  0.171       60
 10:     0.071  0.238  0.082  0.098  0.113  0.344  0.054       38
 11:     0.091  0.171  0.084  0.206  0.038  0.341  0.067       50
 12:     0.068  0.151  0.064  0.115  0.071  0.467  0.063       48
 13:     0.147  0.192  0.081  0.100  0.110  0.244  0.127       50
 14:     0.079  0.092  0.080  0.053  0.083  0.110  0.502       57
 15:     0.075  0.150  0.236  0.037  0.169  0.078  0.256       48
 16:     0.048  0.054  0.043  0.037  0.028  0.046  0.744       48
 17:     0.111  0.046  0.112  0.136  0.148  0.250  0.197       50
 18:     0.094  0.193  0.089  0.233  0.068  0.221  0.103       44
 19:     0.065  0.142  0.068  0.098  0.054  0.506  0.066       50
 20:     0.089  0.118  0.071  0.205  0.030  0.449  0.038       50
 21:     0.038  0.053  0.028  0.033  0.063  0.031  0.754       48
 22:     0.097  0.162  0.108  0.077  0.046  0.322  0.188       50
 23:     0.159  0.144  0.070  0.157  0.106  0.290  0.073       49
 24:     0.042  0.145  0.075  0.093  0.062  0.468  0.115       50
 25:     0.088  0.274  0.049  0.150  0.116  0.271  0.052       50
 26:     0.105  0.213  0.085  0.174  0.144  0.182  0.098       50
 27:     0.096  0.150  0.075  0.054  0.099  0.038  0.489       55
 28:     0.078  0.103  0.084  0.075  0.143  0.140  0.377       50
